display_name,modulation,order,channel_name,gray_ok,roll_off,input_mode,snr_db,media,repeat,decoder,ber,model_path
16ASK,MASK,16,AWGN,True,0.35,hard,0,image,1,Viterbi,0.3344802187,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,image,1,AI-BiGRU,0.2792843436,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,image,2,Viterbi,0.3369904437,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,image,2,AI-BiGRU,0.2834712826,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,image,3,Viterbi,0.3364864603,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,0,image,3,AI-BiGRU,0.2845180174,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,image,1,Viterbi,0.2719765842,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,image,1,AI-BiGRU,0.2071759484,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,image,2,Viterbi,0.2740894377,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,image,2,AI-BiGRU,0.2070208765,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,image,3,Viterbi,0.2716082886,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,2,image,3,AI-BiGRU,0.2068464207,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,image,1,Viterbi,0.1884510264,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,image,1,AI-BiGRU,0.1254143325,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,image,2,Viterbi,0.1871813759,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,image,2,AI-BiGRU,0.1205295703,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,image,3,Viterbi,0.1847099188,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,4,image,3,AI-BiGRU,0.1220609045,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,image,1,Viterbi,0.1060885072,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,image,1,AI-BiGRU,0.0592665103,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,image,2,Viterbi,0.1038690419,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,image,2,AI-BiGRU,0.0596638818,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,image,3,Viterbi,0.1037042780,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,6,image,3,AI-BiGRU,0.0606330807,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,image,1,Viterbi,0.0460950978,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,image,1,AI-BiGRU,0.0238132160,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,image,2,Viterbi,0.0441954680,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,image,2,AI-BiGRU,0.0239392118,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,image,3,Viterbi,0.0443796158,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,8,image,3,AI-BiGRU,0.0243559674,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,image,1,Viterbi,0.0149062785,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
16ASK,MASK,16,AWGN,True,0.35,hard,10,image,1,AI-BiGRU,0.0073174514,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mask_16_awgn.pt
