display_name,modulation,order,channel_name,snr_db,decoder,ber_mean,ber_std,case_count
16ASK,MASK,16,AWGN,0,Viterbi,0.3303727957,0.0056974267,6
16ASK,MASK,16,AWGN,0,AI-BiGRU,0.2803919945,0.0026729112,6
16ASK,MASK,16,AWGN,2,Viterbi,0.2666069092,0.0060023926,6
16ASK,MASK,16,AWGN,2,AI-BiGRU,0.2026969521,0.0043520428,6
16ASK,MASK,16,AWGN,4,Viterbi,0.1817197663,0.0053680248,6
16ASK,MASK,16,AWGN,4,AI-BiGRU,0.1177852828,0.0051611639,6
16ASK,MASK,16,AWGN,6,Viterbi,0.1008458608,0.0037873000,6
16ASK,MASK,16,AWGN,6,AI-BiGRU,0.0563062496,0.0035754265,6
16ASK,MASK,16,AWGN,8,Viterbi,0.0430379494,0.0019747161,6
16ASK,MASK,16,AWGN,8,AI-BiGRU,0.0222225074,0.0018252794,6
16ASK,MASK,16,AWGN,10,Viterbi,0.0137784214,0.0007603972,6
16ASK,MASK,16,AWGN,10,AI-BiGRU,0.0068632930,0.0003193971,6
16PSK,MPSK,16,AWGN,0,Viterbi,0.1727257685,0.0053731519,6
16PSK,MPSK,16,AWGN,0,AI-BiGRU,0.1157696017,0.0034148527,6
16PSK,MPSK,16,AWGN,2,Viterbi,0.0841361059,0.0038186747,6
16PSK,MPSK,16,AWGN,2,AI-BiGRU,0.0467694103,0.0029263485,6
16PSK,MPSK,16,AWGN,4,Viterbi,0.0312927794,0.0013625730,6
16PSK,MPSK,16,AWGN,4,AI-BiGRU,0.0142657153,0.0008005058,6
16PSK,MPSK,16,AWGN,6,Viterbi,0.0083074632,0.0007620895,6
16PSK,MPSK,16,AWGN,6,AI-BiGRU,0.0032699922,0.0002675313,6
16PSK,MPSK,16,AWGN,8,Viterbi,0.0012144782,0.0001285813,6
16PSK,MPSK,16,AWGN,8,AI-BiGRU,0.0004397199,0.0000708807,6
16PSK,MPSK,16,AWGN,10,Viterbi,0.0000976375,0.0000535592,6
16PSK,MPSK,16,AWGN,10,AI-BiGRU,0.0000557719,0.0000148960,6
16QAM,MQAM,16,AWGN,0,Viterbi,0.0305294815,0.0022518205,6
16QAM,MQAM,16,AWGN,0,AI-BiGRU,0.0261439247,0.0006062022,6
16QAM,MQAM,16,AWGN,2,Viterbi,0.0040927529,0.0005127781,6
16QAM,MQAM,16,AWGN,2,AI-BiGRU,0.0033019545,0.0002288350,6
16QAM,MQAM,16,AWGN,4,Viterbi,0.0001822292,0.0000313575,6
16QAM,MQAM,16,AWGN,4,AI-BiGRU,0.0001469423,0.0000301140,6
16QAM,MQAM,16,AWGN,6,Viterbi,0.0000012418,0.0000013375,6
16QAM,MQAM,16,AWGN,6,AI-BiGRU,0.0000036022,0.0000035075,6
16QAM,MQAM,16,AWGN,8,Viterbi,0.0000000000,0.0000000000,6
16QAM,MQAM,16,AWGN,8,AI-BiGRU,0.0000004967,0.0000007025,6
16QAM,MQAM,16,AWGN,10,Viterbi,0.0000000000,0.0000000000,6
16QAM,MQAM,16,AWGN,10,AI-BiGRU,0.0000000000,0.0000000000,6
