channel_method,snr_db,ber_mean,ber_std,runs
CRC,0,0.07716115,0.00025634,0.07679932;0.07736145;0.07732269
CRC,2,0.04190170,0.00046886,0.04125880;0.04236368;0.04208261
CRC,4,0.01721620,0.00018293,0.01747466;0.01709667;0.01707728
CRC,6,0.00437109,0.00016352,0.00431293;0.00459400;0.00420632
CRC,8,0.00063321,0.00009240,0.00075598;0.00061060;0.00053306
CRC,10,0.00001292,0.00000914,0.00000000;0.00001938;0.00001938
汉明码,0,0.03975977,0.00063428,0.03886487;0.04015391;0.04026052
汉明码,2,0.01246713,0.00025278,0.01211499;0.01269651;0.01258989
汉明码,4,0.00216454,0.00032984,0.00172517;0.00251992;0.00224854
汉明码,6,0.00020353,0.00008988,0.00032953;0.00015507;0.00012600
汉明码,8,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
汉明码,10,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
卷积码,0,0.03088837,0.00047030,0.03154742;0.03048130;0.03063638
卷积码,2,0.00407387,0.00020656,0.00409971;0.00380895;0.00431293
卷积码,4,0.00028753,0.00008681,0.00025199;0.00020353;0.00040706
卷积码,6,0.00000646,0.00000914,0.00001938;0.00000000;0.00000000
卷积码,8,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
卷积码,10,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
