channel_method,snr_db,ber_mean,ber_std,runs
CRC,0,0.07591735,0.00046629,0.07626626;0.07622749;0.07525829
CRC,2,0.04171755,0.00044921,0.04233461;0.04127818;0.04153986
CRC,4,0.01713544,0.00032905,0.01759096;0.01682529;0.01699006
CRC,6,0.00435493,0.00009507,0.00446801;0.00436139;0.00423540
CRC,8,0.00058475,0.00011312,0.00055244;0.00046522;0.00073659
CRC,10,0.00004200,0.00000457,0.00003877;0.00004846;0.00003877
汉明码,0,0.03991161,0.00037687,0.04008606;0.04026052;0.03938824
汉明码,2,0.01279666,0.00012294,0.01262866;0.01291942;0.01284188
汉明码,4,0.00217424,0.00017842,0.00194809;0.00238423;0.00219039
汉明码,6,0.00017446,0.00002094,0.00020353;0.00015507;0.00016476
汉明码,8,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
汉明码,10,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
卷积码,0,0.03191249,0.00098853,0.03321444;0.03082052;0.03170249
卷积码,2,0.00441309,0.00057569,0.00394464;0.00407064;0.00522398
卷积码,4,0.00023261,0.00000000,0.00023261;0.00023261;0.00023261
卷积码,6,0.00000646,0.00000914,0.00000000;0.00000000;0.00001938
卷积码,8,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
卷积码,10,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
