modulation,snr_db,ber_mean,ber_std,runs
16ASK,0,0.33520066,0.00149505,0.33436391;0.33393747;0.33730059
16ASK,2,0.27574031,0.00342775,0.27866406;0.27092985;0.27762701
16ASK,4,0.18549497,0.00288429,0.18493283;0.18927485;0.18227723
16ASK,6,0.10328752,0.00096106,0.10304522;0.10225048;0.10456687
16ASK,8,0.04394994,0.00151939,0.04261567;0.04607571;0.04315843
16ASK,10,0.01484813,0.00072636,0.01523581;0.01547811;0.01383047
16ASK,12,0.00366680,0.00017999,0.00373142;0.00342127;0.00384772
16PSK,0,0.17693048,0.00163509,0.17817752;0.17462056;0.17799337
16PSK,2,0.08860416,0.00203769,0.08596794;0.08891430;0.09093024
16PSK,4,0.03273308,0.00005940,0.03281707;0.03269108;0.03269108
16PSK,6,0.00851926,0.00034193,0.00815096;0.00897478;0.00843203
16PSK,8,0.00142472,0.00001583,0.00144411;0.00142472;0.00140534
16PSK,10,0.00014215,0.00000457,0.00014538;0.00014538;0.00013569
16PSK,12,0.00000969,0.00001371,0.00000000;0.00000000;0.00002908
16QAM,0,0.03386704,0.00155544,0.03532730;0.03171219;0.03456163
16QAM,2,0.00401894,0.00021180,0.00425478;0.00406094;0.00374111
16QAM,4,0.00023261,0.00002741,0.00025199;0.00019384;0.00025199
16QAM,6,0.00000646,0.00000914,0.00001938;0.00000000;0.00000000
16QAM,8,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
16QAM,10,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
16QAM,12,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
