modulation,snr_db,ber_mean,ber_std,runs
16ASK,0,0.33464498,0.00084281,0.33361763;0.33463529;0.33568203
16ASK,2,0.27028049,0.00256929,0.26981527;0.26739227;0.27363391
16ASK,4,0.18727183,0.00055487,0.18752060;0.18650294;0.18779197
16ASK,6,0.10352336,0.00071735,0.10453779;0.10300645;0.10302584
16ASK,8,0.04356549,0.00069092,0.04260598;0.04388532;0.04420516
16ASK,10,0.01429568,0.00020621,0.01413092;0.01416969;0.01458644
16ASK,12,0.00320805,0.00025910,0.00328558;0.00285914;0.00347942
16PSK,0,0.17610020,0.00376555,0.17105391;0.18009653;0.17715017
16PSK,2,0.08438168,0.00109236,0.08288589;0.08546396;0.08479521
16PSK,4,0.03275892,0.00211100,0.03570529;0.03170249;0.03086898
16PSK,6,0.00900386,0.00079561,0.00863556;0.01010874;0.00826727
16PSK,8,0.00127934,0.00039321,0.00082382;0.00178333;0.00123088
16PSK,10,0.00015830,0.00001828,0.00018415;0.00014538;0.00014538
16PSK,12,0.00000646,0.00000914,0.00000000;0.00000000;0.00001938
16QAM,0,0.03268462,0.00053346,0.03343736;0.03226463;0.03235186
16QAM,2,0.00405125,0.00016237,0.00424509;0.00406094;0.00384772
16QAM,4,0.00023907,0.00002544,0.00020353;0.00025199;0.00026168
16QAM,6,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
16QAM,8,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
16QAM,10,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
16QAM,12,0.00000000,0.00000000,0.00000000;0.00000000;0.00000000
